,accelerometer_x,accelerometer_y,accelerometer_z,fall
0,-10.0,-270.0,-13.0,0
1,-10.0,-270.0,-8.0,0
2,-9.0,-264.0,-11.0,0
3,-9.0,-264.0,-3.0,0
4,-10.0,-258.0,-3.0,0
5,-9.0,-255.0,-4.0,0
6,-12.0,-255.0,-9.0,0
7,-13.0,-254.0,-5.0,0
8,-15.0,-252.0,-6.0,0
9,-14.0,-250.0,-7.0,0
10,-12.0,-252.0,-8.0,0
11,-6.0,-250.0,-3.0,0
12,-7.0,-254.0,-4.0,0
13,-7.0,-250.0,-3.0,0
14,-3.0,-254.0,-7.0,0
15,0.0,-252.0,-3.0,0
16,-5.0,-256.0,0.0,0
17,-4.0,-254.0,-4.0,0
18,-9.0,-252.0,-5.0,0
19,-10.0,-248.0,-7.0,0
20,-13.0,-248.0,-4.0,0
21,-12.0,-246.0,-4.0,0
22,-14.0,-240.0,-8.0,0
23,-18.0,-235.0,-14.0,0
24,-12.0,-234.0,-10.0,0
25,-18.0,-226.0,-12.0,0
26,-19.0,-228.0,-16.0,0
27,-11.0,-227.0,-13.0,0
28,-15.0,-223.0,-16.0,0
29,-16.0,-223.0,-18.0,0
30,-15.0,-223.0,-14.0,0
31,-15.0,-221.0,-22.0,0
32,-12.0,-225.0,-19.0,0
33,-12.0,-226.0,-14.0,0
34,-11.0,-228.0,-18.0,0
35,-10.0,-232.0,-17.0,0
36,-5.0,-236.0,-16.0,0
37,-2.0,-240.0,-15.0,0
38,0.0,-242.0,-15.0,0
39,1.0,-245.0,-21.0,0
40,3.0,-249.0,-15.0,0
41,5.0,-248.0,-15.0,0
42,1.0,-253.0,-16.0,0
43,6.0,-255.0,-13.0,0
44,5.0,-253.0,-18.0,0
45,4.0,-252.0,-17.0,0
46,6.0,-255.0,-11.0,0
47,12.0,-254.0,-10.0,0
48,10.0,-252.0,-4.0,0
49,6.0,-249.0,-10.0,0
50,9.0,-246.0,-9.0,0
51,2.0,-241.0,-8.0,0
52,5.0,-238.0,-9.0,0
