,accelerometer_x,accelerometer_y,accelerometer_z,fall
0,8.0,-225.0,-104.0,0
1,10.0,-223.0,-110.0,0
2,7.0,-227.0,-106.0,0
3,10.0,-223.0,-106.0,0
4,7.0,-221.0,-107.0,0
5,8.0,-224.0,-116.0,0
6,7.0,-224.0,-108.0,0
7,9.0,-227.0,-107.0,0
8,11.0,-229.0,-109.0,0
9,12.0,-226.0,-106.0,0
10,8.0,-225.0,-108.0,0
11,5.0,-220.0,-111.0,0
12,6.0,-226.0,-111.0,0
13,7.0,-224.0,-108.0,0
14,8.0,-222.0,-113.0,0
15,14.0,-222.0,-107.0,0
16,8.0,-226.0,-106.0,0
17,9.0,-222.0,-110.0,0
18,9.0,-223.0,-106.0,0
19,10.0,-223.0,-108.0,0
20,7.0,-221.0,-110.0,0
21,12.0,-224.0,-110.0,0
22,10.0,-222.0,-114.0,0
23,7.0,-217.0,-112.0,0
24,7.0,-220.0,-110.0,0
25,9.0,-221.0,-106.0,0
26,14.0,-226.0,-104.0,0
27,5.0,-220.0,-107.0,0
28,8.0,-218.0,-110.0,0
29,7.0,-219.0,-110.0,0
30,7.0,-220.0,-111.0,0
31,5.0,-218.0,-108.0,0
32,7.0,-222.0,-107.0,0
33,7.0,-221.0,-106.0,0
34,6.0,-220.0,-110.0,0
35,5.0,-221.0,-109.0,0
36,6.0,-222.0,-109.0,0
37,0.0,-221.0,-117.0,0
38,10.0,-222.0,-110.0,0
39,7.0,-223.0,-109.0,0
40,6.0,-222.0,-105.0,0
41,8.0,-220.0,-109.0,0
42,5.0,-221.0,-110.0,0
43,7.0,-224.0,-110.0,0
44,10.0,-224.0,-112.0,0
45,6.0,-223.0,-107.0,0
46,4.0,-220.0,-109.0,0
47,3.0,-220.0,-113.0,0
48,1.0,-221.0,-111.0,0
49,5.0,-219.0,-109.0,0
50,5.0,-221.0,-107.0,0
51,4.0,-223.0,-109.0,0
52,5.0,-224.0,-110.0,0
53,7.0,-220.0,-106.0,0
54,3.0,-220.0,-106.0,0
55,4.0,-218.0,-108.0,0
56,3.0,-218.0,-107.0,0
57,5.0,-219.0,-106.0,0
58,10.0,-223.0,-105.0,0
59,7.0,-222.0,-106.0,0
60,6.0,-221.0,-105.0,0
61,7.0,-225.0,-109.0,0
62,7.0,-224.0,-109.0,0
63,5.0,-222.0,-108.0,0
64,7.0,-226.0,-107.0,0
65,4.0,-222.0,-109.0,0
66,5.0,-224.0,-106.0,0
67,4.0,-226.0,-107.0,0
68,5.0,-228.0,-108.0,0
69,6.0,-225.0,-107.0,0
70,7.0,-225.0,-104.0,0
71,7.0,-222.0,-109.0,0
72,6.0,-223.0,-109.0,0
73,8.0,-225.0,-112.0,0
74,6.0,-226.0,-107.0,0
75,7.0,-223.0,-112.0,0
76,7.0,-227.0,-102.0,0
77,9.0,-229.0,-108.0,0
78,4.0,-225.0,-105.0,0
79,2.0,-231.0,-107.0,0
80,6.0,-233.0,-105.0,0
81,9.0,-233.0,-111.0,0
82,4.0,-228.0,-106.0,0
83,5.0,-228.0,-104.0,0
84,4.0,-228.0,-105.0,0
85,4.0,-223.0,-103.0,0
86,2.0,-225.0,-103.0,0
87,4.0,-223.0,-102.0,0
88,5.0,-225.0,-100.0,0
89,3.0,-216.0,-102.0,0
90,4.0,-218.0,-101.0,0
91,7.0,-217.0,-104.0,0
92,6.0,-214.0,-105.0,0
93,6.0,-216.0,-106.0,0
94,8.0,-216.0,-103.0,0
95,10.0,-218.0,-98.0,0
96,7.0,-218.0,-102.0,0
97,7.0,-214.0,-102.0,0
98,12.0,-219.0,-99.0,0
99,9.0,-217.0,-100.0,0
100,9.0,-218.0,-100.0,0
101,8.0,-215.0,-100.0,0
102,9.0,-216.0,-99.0,0
103,5.0,-216.0,-94.0,0
104,8.0,-221.0,-97.0,0
105,7.0,-220.0,-96.0,0
106,9.0,-219.0,-93.0,0
107,11.0,-219.0,-96.0,0
108,9.0,-222.0,-95.0,0
109,10.0,-223.0,-98.0,0
110,10.0,-221.0,-98.0,0
111,14.0,-224.0,-96.0,0
112,14.0,-227.0,-94.0,0
113,13.0,-226.0,-95.0,0
114,13.0,-224.0,-91.0,0
115,14.0,-227.0,-92.0,0
116,16.0,-231.0,-90.0,0
117,15.0,-229.0,-93.0,0
118,16.0,-230.0,-94.0,0
119,13.0,-232.0,-97.0,0
120,15.0,-235.0,-92.0,0
121,15.0,-232.0,-93.0,0
122,14.0,-238.0,-97.0,0
123,11.0,-234.0,-96.0,0
124,13.0,-235.0,-96.0,0
125,11.0,-239.0,-102.0,0
126,6.0,-236.0,-99.0,0
127,3.0,-238.0,-100.0,0
128,6.0,-241.0,-102.0,0
129,3.0,-235.0,-96.0,0
130,4.0,-238.0,-98.0,0
131,3.0,-233.0,-102.0,0
132,4.0,-228.0,-100.0,0
133,2.0,-227.0,-108.0,0
134,2.0,-221.0,-109.0,0
135,8.0,-224.0,-107.0,0
136,8.0,-218.0,-111.0,0
137,11.0,-218.0,-107.0,0
138,11.0,-212.0,-113.0,0
139,12.0,-211.0,-115.0,0
140,17.0,-206.0,-116.0,0
141,19.0,-203.0,-111.0,0
142,23.0,-200.0,-109.0,0
143,24.0,-199.0,-108.0,0
144,29.0,-199.0,-110.0,0
145,34.0,-191.0,-107.0,0
146,35.0,-192.0,-106.0,0
147,37.0,-185.0,-109.0,0
148,40.0,-184.0,-106.0,0
149,41.0,-181.0,-109.0,0
150,43.0,-179.0,-113.0,0
151,43.0,-177.0,-114.0,0
152,41.0,-177.0,-111.0,0
153,44.0,-179.0,-118.0,0
154,39.0,-176.0,-110.0,0
155,42.0,-180.0,-106.0,0
156,37.0,-182.0,-106.0,0
157,42.0,-191.0,-107.0,0
158,40.0,-193.0,-103.0,0
159,37.0,-200.0,-104.0,0
160,40.0,-210.0,-105.0,0
161,41.0,-217.0,-109.0,0
162,43.0,-222.0,-107.0,0
163,42.0,-232.0,-108.0,0
164,43.0,-240.0,-115.0,0
165,40.0,-249.0,-114.0,0
166,44.0,-256.0,-113.0,0
