,accelerometer_x,accelerometer_y,accelerometer_z,fall
0,26.0,-250.0,38.0,0
1,25.0,-249.0,35.0,0
2,27.0,-248.0,39.0,0
3,28.0,-245.0,36.0,0
4,23.0,-242.0,37.0,0
5,27.0,-246.0,38.0,0
6,25.0,-246.0,38.0,0
7,26.0,-245.0,39.0,0
8,26.0,-246.0,40.0,0
9,26.0,-248.0,41.0,0
10,27.0,-252.0,40.0,0
11,26.0,-250.0,42.0,0
12,27.0,-250.0,40.0,0
13,27.0,-253.0,40.0,0
14,24.0,-247.0,49.0,0
15,29.0,-254.0,40.0,0
16,24.0,-252.0,41.0,0
17,27.0,-254.0,41.0,0
18,27.0,-254.0,40.0,0
19,25.0,-251.0,35.0,0
20,25.0,-247.0,35.0,0
21,25.0,-248.0,37.0,0
22,26.0,-248.0,37.0,0
23,24.0,-246.0,42.0,0
24,25.0,-248.0,37.0,0
25,25.0,-250.0,38.0,0
26,24.0,-247.0,39.0,0
27,26.0,-249.0,41.0,0
28,24.0,-248.0,42.0,0
29,24.0,-248.0,39.0,0
30,28.0,-250.0,38.0,0
31,23.0,-247.0,43.0,0
32,25.0,-247.0,41.0,0
33,26.0,-249.0,43.0,0
34,27.0,-248.0,45.0,0
35,25.0,-247.0,47.0,0
36,28.0,-247.0,41.0,0
37,28.0,-249.0,43.0,0
38,25.0,-247.0,42.0,0
39,25.0,-243.0,42.0,0
40,23.0,-247.0,41.0,0
41,25.0,-247.0,41.0,0
42,26.0,-249.0,40.0,0
43,22.0,-243.0,44.0,0
44,27.0,-248.0,38.0,0
45,23.0,-246.0,44.0,0
46,24.0,-248.0,44.0,0
47,25.0,-246.0,41.0,0
48,26.0,-250.0,39.0,0
49,27.0,-249.0,41.0,0
50,25.0,-249.0,42.0,0
51,25.0,-248.0,42.0,0
52,26.0,-250.0,43.0,0
53,26.0,-249.0,42.0,0
54,25.0,-249.0,42.0,0
55,27.0,-248.0,41.0,0
56,26.0,-246.0,40.0,0
57,25.0,-247.0,42.0,0
58,27.0,-249.0,43.0,0
59,26.0,-248.0,42.0,0
60,23.0,-244.0,43.0,0
61,24.0,-246.0,43.0,0
62,25.0,-248.0,41.0,0
63,26.0,-246.0,44.0,0
64,28.0,-250.0,43.0,0
65,29.0,-251.0,42.0,0
66,28.0,-248.0,44.0,0
67,25.0,-247.0,39.0,0
68,27.0,-248.0,44.0,0
69,27.0,-246.0,41.0,0
70,23.0,-248.0,46.0,0
71,26.0,-251.0,40.0,0
72,24.0,-249.0,42.0,0
73,25.0,-249.0,41.0,0
74,26.0,-250.0,39.0,0
75,26.0,-249.0,40.0,0
76,25.0,-246.0,38.0,0
77,25.0,-246.0,41.0,0
78,22.0,-246.0,43.0,0
79,26.0,-246.0,39.0,0
80,25.0,-246.0,39.0,0
81,25.0,-250.0,43.0,0
82,23.0,-247.0,40.0,0
83,27.0,-249.0,44.0,0
84,25.0,-248.0,42.0,0
85,25.0,-249.0,44.0,0
86,24.0,-249.0,42.0,0
87,26.0,-246.0,45.0,0
88,23.0,-245.0,41.0,0
89,25.0,-247.0,43.0,0
90,25.0,-247.0,46.0,0
91,24.0,-244.0,41.0,0
92,23.0,-246.0,42.0,0
93,26.0,-250.0,42.0,0
