accelerometer_x,accelerometer_y,accelerometer_z,fall
3980,519,-26,1
3984,522,-30,1
3983,528,-29,1
3980,534,-29,1
3979,537,-27,1
3976,537,-26,1
3973,538,-30,1
3976,533,-28,1
3973,533,-27,1
3972,529,-26,1
3973,527,-23,1
3977,525,-26,1
3984,523,-26,1
3986,519,-28,1
3989,515,-32,1
3989,507,-36,1
3991,504,-37,1
3986,508,-34,1
3991,505,-31,1
3989,510,-29,1
3988,517,-28,1
3985,526,-27,1
3983,531,-28,1
3981,535,-28,1
3979,540,-34,1
3980,537,-37,1
3983,540,-34,1
3984,544,-38,1
3992,548,-39,1
3992,545,-36,1
3997,540,-32,1
3996,535,-27,1
3989,535,-25,1
3981,534,-20,1
3980,531,-20,1
3982,534,-17,1
3982,538,-17,1
3981,541,-18,1
3987,544,-21,1
3995,552,-21,1
3997,555,-25,1
4000,559,-29,1
4003,557,-38,1
4006,558,-47,1
4002,558,-47,1
3997,562,-51,1
3995,566,-50,1
3984,573,-44,1
3979,571,-36,1
3972,565,-27,1
3966,556,-17,1
3958,553,-7,1
3949,548,-1,1
3942,544,2,1
3938,539,3,1
3941,537,1,1
3938,538,-2,1
3941,544,-7,1
3944,544,-13,1
3955,547,-13,1
3965,549,-21,1
3971,550,-19,1
3976,552,-22,1
3985,552,-24,1
3986,553,-28,1
3982,554,-30,1
3981,556,-28,1
3982,562,-26,1
3982,562,-25,1
3981,562,-20,1
3987,562,-11,1
3987,562,-9,1
3982,562,-13,1
3978,561,-13,1
3979,558,-15,1
3981,553,-17,1
3980,554,-17,1
3979,554,-24,1
3981,554,-24,1
3983,552,-23,1
3981,550,-22,1
3983,552,-20,1
3984,557,-19,1
3982,559,-20,1
3983,564,-19,1
3981,563,-18,1
3980,566,-15,1
3980,568,-15,1
3978,569,-13,1
3978,570,-6,1
3975,570,-4,1
3969,566,-9,1
3968,566,-12,1
3966,565,-14,1
3972,565,-14,1
3972,561,-18,1
3972,559,-21,1
3970,553,-23,1
3968,554,-18,1
3971,551,-18,1
3971,552,-17,1
3969,548,-12,1
3973,543,-12,1
3975,543,-9,1
3975,539,-6,1
3973,539,-5,1
3972,535,-7,1
3973,531,-5,1
3976,530,-4,1
3977,528,-5,1
3976,529,-4,1
3975,530,-3,1
3972,539,-1,1
3976,540,1,1
3979,540,0,1
3980,538,-1,1
3980,539,-1,1
3981,533,-4,1
3981,535,-6,1
3978,533,-9,1
3967,478,-25,1
3974,510,-2,1
3978,591,9,1
3989,559,-14,1
3983,531,-18,1
3981,531,-15,1
3979,524,-8,1
3977,520,-2,1
3978,516,1,1
3974,513,2,1
3970,511,2,1
3977,512,2,1
3978,514,2,1
3979,515,2,1
3990,514,1,1
3995,515,-5,1
4003,515,-7,1
4007,519,-17,1
4010,522,-24,1
4006,523,-31,1
4006,534,-33,1
4000,537,-29,1
3996,544,-21,1
3986,549,-17,1
3974,551,-5,1
3971,545,1,1
3963,542,8,1
3963,536,14,1
3956,517,14,1
3957,517,16,1
3962,529,18,1
3966,528,13,1
3970,523,10,1
3973,522,8,1
3975,523,7,1
3986,522,1,1
3994,519,-5,1
3997,521,-6,1
3999,525,-10,1
3999,526,-12,1
3999,523,-10,1
3998,523,-12,1
3995,524,-8,1
3991,526,-3,1
3986,525,-1,1
3986,527,2,1
3984,531,6,1
3985,534,7,1
3984,537,10,1
3984,543,13,1
3982,547,11,1
3981,553,11,1
3977,556,9,1
3977,556,10,1
3975,553,7,1
3975,549,7,1
3975,549,6,1
3974,548,5,1
3973,548,7,1
3965,550,8,1
3962,547,9,1
3963,540,7,1
3966,530,3,1
3962,529,4,1
3963,529,5,1
3967,536,7,1
3965,541,7,1
3960,544,9,1
3959,552,10,1
3957,556,12,1
3961,556,15,1
3962,555,16,1
3960,554,12,1
3958,556,6,1
3953,556,3,1
3951,553,3,1
3949,551,6,1
3945,549,5,1
3946,549,12,1
3948,548,16,1
3947,549,18,1
3951,554,22,1
3953,555,22,1
3955,555,20,1
3958,559,16,1
3962,561,16,1
3964,566,16,1
3964,569,19,1
3964,564,17,1
3964,562,15,1
3964,563,15,1
3965,569,21,1
3965,571,25,1
3958,570,23,1
3952,571,22,1
3950,570,21,1
3944,565,15,1
3942,558,10,1
3949,554,7,1
3950,545,8,1
3958,542,6,1
3961,539,8,1
3970,538,8,1
3983,539,9,1
3988,540,12,1
3987,545,14,1
3993,547,15,1
3998,546,17,1
4005,548,17,1
4008,545,14,1
4013,541,8,1
4017,541,2,1
4018,544,-6,1
4015,545,-18,1
4010,549,-24,1
4002,554,-20,1
3992,557,-15,1
3982,565,-8,1
3964,566,-2,1
3953,563,14,1
3947,560,17,1
3942,560,27,1
3934,554,34,1
3938,546,39,1
3937,537,39,1
3937,530,34,1
3938,524,31,1
3942,520,25,1
3943,515,17,1
3950,517,11,1
3961,521,5,1
3968,523,1,1
3972,526,1,1
3975,529,4,1
3981,534,3,1
3991,537,3,1
3994,535,4,1
3995,537,6,1
3995,537,6,1
3994,536,5,1
3988,539,8,1
3985,536,11,1
3986,538,10,1
3988,536,11,1
3988,532,12,1
3988,531,9,1
3989,528,10,1
3986,529,11,1
3985,531,8,1
3986,532,8,1
3986,530,8,1
3987,531,9,1
3992,532,10,1
3988,530,9,1
3985,530,9,1
3983,531,8,1
3978,536,9,1
3974,534,9,1
3972,535,10,1
3971,535,9,1
3971,534,11,1
3964,530,14,1
3967,530,12,1
3966,533,10,1
3965,530,9,1
3966,529,8,1
3967,530,8,1
3973,533,9,1
3976,538,10,1
3974,539,9,1
3969,538,7,1
3970,542,5,1
3971,543,5,1
3976,540,6,1
3973,539,6,1
3974,542,9,1
3976,544,11,1
3982,537,15,1
3986,539,11,1
3986,541,11,1
3992,539,11,1
3990,541,7,1
3986,544,6,1
3981,548,8,1
3982,546,8,1
3979,549,6,1
3983,549,7,1
3983,553,5,1
3980,558,6,1
3976,563,8,1
3973,567,7,1
3973,568,9,1
3972,567,10,1
3973,562,12,1
3971,557,11,1
3965,554,8,1
3961,549,8,1
3954,547,9,1
3959,542,8,1
3955,540,9,1
3959,536,7,1
3961,538,6,1
3968,542,6,1
3973,545,4,1
3978,550,4,1
3986,554,5,1
3996,553,5,1
4004,549,2,1
4008,547,-4,1
4012,544,-10,1
4014,544,-10,1
4010,549,-13,1
3999,551,-15,1
3991,556,-13,1
3982,558,-6,1
3975,555,3,1
3963,555,10,1
3954,550,18,1
3949,547,23,1
3943,544,26,1
3939,540,26,1
3941,538,23,1
3943,536,15,1
3946,540,11,1
3948,541,8,1
3959,543,5,1
3961,546,2,1
3969,550,0,1
3980,552,-3,1
3982,552,-3,1
3983,554,0,1
3983,554,1,1
3983,561,2,1
3983,561,2,1
3983,557,4,1
3981,553,7,1
3979,556,6,1
3979,556,6,1
3976,557,6,1
3977,556,8,1
3979,557,16,1
3978,553,16,1
3976,549,11,1
3977,548,8,1
3983,546,0,1
3981,548,-6,1
3981,550,-9,1
3984,557,-4,1
3982,562,1,1
3983,564,1,1
3984,566,2,1
3984,559,3,1
3981,559,4,1
3980,558,4,1
3976,554,7,1
3975,553,6,1
3969,554,5,1
3968,546,6,1
3963,546,5,1
3959,552,4,1
3960,550,8,1
3959,549,8,1
3955,551,7,1
3952,548,4,1
3953,552,2,1
3960,547,4,1
3959,552,4,1
3965,557,4,1
3966,557,6,1
3971,569,6,1
3975,571,6,1
3975,576,7,1
3980,570,11,1
3977,570,8,1
3981,571,5,1
3979,565,4,1
3984,567,5,1
3981,569,4,1
3977,567,10,1
3976,567,11,1
3971,566,13,1
3965,568,12,1
3966,566,10,1
3967,570,7,1
3965,566,4,1
3958,563,1,1
3962,563,1,1
3965,562,1,1
3975,561,-3,1
3979,557,-4,1
3981,556,-3,1
3981,557,-1,1
3981,562,0,1
3977,556,0,1
3974,540,3,1
3972,539,6,1
3972,542,7,1
3971,540,6,1
3972,544,7,1
3977,541,4,1
3981,540,6,1
3982,541,5,1
3992,541,4,1
3993,537,2,1
3992,542,-4,1
3994,549,-6,1
3995,553,-6,1
3991,559,-7,1
3991,557,-5,1
3987,553,-4,1
3983,541,0,1
3975,530,2,1
3970,529,11,1
3965,527,11,1
3961,526,11,1
3956,519,11,1
3955,519,7,1
3953,519,5,1
3952,522,3,1
3961,526,7,1
3957,532,-3,1
3967,553,-4,1
3971,559,-8,1
3974,568,-8,1
3979,575,-5,1
3986,576,-2,1
3985,582,0,1
3986,586,3,1
3989,585,6,1
3989,585,6,1
3985,584,7,1
3984,581,6,1
3984,576,6,1
3983,573,4,1
3983,570,4,1
3984,565,6,1
3984,560,6,1
3988,559,7,1
3990,559,6,1
3988,563,6,1
3989,559,7,1
3989,564,6,1
3989,564,6,1
3987,564,7,1
3984,559,5,1
3976,557,5,1
3974,565,3,1
3969,546,7,1
3964,530,6,1
3957,520,5,1
3951,508,3,1
3950,498,3,1
3949,492,5,1
3949,484,5,1
3946,480,6,1
3942,497,7,1
3945,477,3,1
3949,455,-12,1
3949,458,-8,1
3961,467,-7,1
3966,472,-8,1
3973,476,-9,1
3981,478,-5,1
3987,478,-3,1
3990,490,-9,1
4001,510,-12,1
4008,515,-9,1
4013,526,-11,1
4017,536,-13,1
4020,545,-19,1
4020,558,-16,1
4018,573,-11,1
4015,583,-9,1
4013,589,-3,1
4012,597,-4,1
4013,599,1,1
4011,606,3,1
4003,609,2,1
3992,618,3,1
3987,627,4,1
3979,628,2,1
3976,627,2,1
3973,629,0,1
3974,624,-6,1
3972,620,-8,1
3969,612,-10,1
3961,601,-6,1
3955,598,-4,1
3949,594,-2,1
3946,590,3,1
3944,590,7,1
3941,589,11,1
3936,585,21,1
3938,576,24,1
3939,576,27,1
3942,573,22,1
3946,571,14,1
3954,569,6,1
3960,571,1,1
3965,572,-7,1
3971,573,-12,1
3975,579,-15,1
3978,581,-17,1
3987,577,-11,1
3984,568,-3,1
3990,561,3,1
3993,567,10,1
3986,560,22,1
3980,553,16,1
3979,571,13,1
3978,564,11,1
3973,555,12,1
3973,556,8,1
3971,557,5,1
3971,560,4,1
3971,567,2,1
3971,571,2,1
3970,576,-1,1
3963,579,-2,1
3965,586,-3,1
3969,589,-4,1
3969,589,-5,1
3968,594,-2,1
3967,595,1,1
3971,595,1,1
3968,595,4,1
3970,588,3,1
3968,582,5,1
3967,578,7,1
3967,570,6,1
3967,562,6,1
3966,564,3,1
3968,556,1,1
3970,551,1,1
3972,547,-4,1
3975,547,-10,1
3977,543,-12,1
3982,545,-13,1
3982,545,-16,1
3984,541,-21,1
3987,541,-19,1
3984,540,-16,1
3983,535,-11,1
3985,538,-15,1
3982,537,-12,1
3982,539,-6,1
3978,534,-3,1
3977,527,0,1
3984,530,2,1
3990,534,3,1
3995,563,10,1
3985,520,-11,1
3976,507,-10,1
3981,523,-4,1
3985,520,-11,1
3987,522,-9,1
3987,521,-16,1
3988,523,-16,1
3989,528,-13,1
3985,527,-8,1
3984,525,-4,1
3986,526,-2,1
3983,531,1,1
3983,532,-1,1
3981,531,-1,1
3979,529,-3,1
3976,530,0,1
3974,526,3,1
3977,529,7,1
3978,530,7,1
3978,531,8,1
3976,536,6,1
3970,543,2,1
3973,549,-3,1
3973,553,-6,1
3975,554,-5,1
3977,556,-7,1
3985,555,-7,1
3989,556,-4,1
3994,557,-9,1
3991,553,-16,1
3984,552,-16,1
3976,547,-13,1
3974,545,-6,1
3970,546,-1,1
3967,541,1,1
3963,535,4,1
3960,526,4,1
3967,524,1,1
3970,522,-4,1
3975,521,-6,1
3976,524,-11,1
3985,525,-21,1
3988,529,-27,1
3993,530,-25,1
3997,534,-27,1
3998,536,-26,1
3996,541,-20,1
3994,538,-14,1
3988,533,-5,1
3980,534,0,1
3972,534,5,1
3967,529,6,1
3959,526,6,1
3954,524,4,1
3953,522,4,1
3951,529,2,1
3953,532,-2,1
3956,535,0,1
3959,540,0,1
3963,547,-2,1
3963,551,1,1
3966,556,2,1
3973,556,2,1
3975,554,3,1
3984,551,3,1
3984,551,2,1
3986,553,1,1
3988,551,1,1
3987,548,2,1
3986,545,3,1
3989,544,4,1
3991,543,0,1
3986,543,3,1
3980,543,0,1
3978,544,0,1
3978,544,-3,1
3983,545,-3,1
3986,544,0,1
3983,546,2,1
3990,541,1,1
3996,542,2,1
3992,540,4,1
3997,544,4,1
3996,544,3,1
3993,542,-1,1
3987,542,0,1
3985,540,-1,1
3980,539,0,1
3978,533,0,1
3975,529,2,1
3970,528,4,1
3971,530,1,1
3970,525,2,1
3973,523,0,1
3969,528,-1,1
3974,533,-2,1
3975,537,0,1
3975,538,1,1
3976,540,1,1
3979,542,0,1
3979,545,1,1
3978,547,1,1
3979,549,-5,1
3978,555,-4,1
3979,558,-2,1
3977,560,1,1
3977,566,5,1
3978,573,9,1
3976,575,9,1
3976,575,13,1
3975,577,15,1
3973,575,16,1
3976,570,15,1
3977,568,17,1
3977,571,13,1
3973,569,9,1
3969,572,5,1
3960,571,2,1
3958,576,0,1
3960,578,2,1
3969,579,2,1
3976,579,-3,1
3985,571,-2,1
3985,568,-1,1
3985,562,2,1
3984,555,4,1
3981,553,8,1
3977,556,11,1
3975,560,13,1
3974,563,15,1
3976,566,21,1
3977,572,19,1
3980,572,14,1
3981,568,11,1
3983,560,6,1
3991,557,-4,1
3994,554,-14,1
3998,556,-19,1
3994,557,-19,1
3990,560,-15,1
3985,562,-9,1
3978,562,-2,1
3973,560,7,1
3964,556,13,1
3954,553,19,1
3946,550,23,1
3946,542,23,1
3939,538,16,1
3940,532,10,1
3943,528,11,1
3945,528,8,1
3948,533,11,1
3948,538,9,1
3949,543,8,1
3956,549,7,1
3961,556,6,1
3968,561,7,1
3974,567,8,1
3980,567,10,1
3982,568,16,1
3985,571,14,1
3986,570,11,1
3991,570,12,1
3994,572,10,1
3988,574,11,1
3984,572,8,1
3982,570,10,1
3980,568,9,1
3978,570,9,1
3984,570,9,1
3983,572,8,1
3982,580,7,1
3985,580,5,1
3980,582,6,1
3977,578,6,1
3975,582,9,1
3976,586,7,1
3976,585,8,1
3979,581,10,1
3972,579,10,1
