accelerometer_x,accelerometer_y,accelerometer_z,fall
547,375,1204,0
732,583,1213,0
945,723,962,0
1085,667,496,0
1111,495,-46,0
1102,319,-471,0
1092,193,-759,0
1113,124,-925,0
1175,92,-973,0
1267,69,-951,0
1416,35,-866,0
1597,-28,-756,0
1768,-133,-655,0
1960,-297,-496,0
2118,-536,-342,0
2194,-792,-172,0
2182,-1065,16,0
2065,-1349,185,0
1870,-1626,348,0
1634,-1877,527,0
1415,-2104,755,0
1226,-2291,987,0
1024,-2441,1131,0
834,-2536,1206,0
687,-2534,1207,0
575,-2427,1067,0
519,-2200,773,0
354,-1318,51,0
194,-128,-958,0
1013,-341,-356,0
2173,-1716,-465,0
3079,-1765,-175,0
4038,-2783,-380,0
4667,-3212,-532,0
5141,-2868,-578,0
5711,-2626,-382,0
6174,-2047,-264,0
6482,-1323,-248,0
6741,-605,-169,0
6814,57,-274,0
7147,580,-106,0
7438,1405,-117,0
7679,2171,-313,0
8075,2769,131,0
8282,2932,181,0
8402,3605,524,0
8406,4013,614,0
8315,4017,502,0
8043,3851,377,0
7558,3642,238,0
6958,3423,83,0
6321,3206,-17,0
5714,3017,-90,0
5135,2925,-102,0
4569,2839,-102,0
3996,2658,-163,0
3450,2404,-255,0
2955,2153,-286,0
2531,1847,-217,0
2184,1355,-212,0
1906,729,-293,0
1707,-52,-488,0
1555,-940,-903,0
1418,-1750,-1499,0
1282,-2396,-2191,0
1076,-1936,-2868,0
1109,-1682,-3485,0
1212,-1505,-4009,0
1546,-2241,-4399,0
1983,-3470,-4531,0
2512,-4551,-4407,0
3057,-4875,-4056,0
3556,-4461,-3501,0
4124,-3532,-2643,0
4750,-3123,-2127,0
5385,-2770,-1751,0
6011,-2505,-1472,0
6510,-2174,-1372,0
6806,-1920,-1537,0
6825,-1492,-1925,0
6785,-1034,-2411,0
7088,-1338,-2345,0
7127,-1346,-2270,0
7139,-1283,-1872,0
7210,-1202,-1501,0
7425,-1288,-1012,0
7673,-1322,-420,0
7741,-1238,-5,0
7559,-996,203,0
7206,-726,359,0
6771,-440,461,0
6257,-206,413,0
5753,-42,352,0
5229,90,266,0
4675,176,128,0
4147,262,12,0
3577,409,-93,0
3042,563,-132,0
2519,783,-102,0
2066,1044,-21,0
1658,1377,72,0
1299,1726,114,0
