accelerometer_x,accelerometer_y,accelerometer_z,fall
5257,-317,47,0
5169,-262,10,0
5055,-138,-26,0
4925,40,-46,0
4794,261,-46,0
4667,529,-24,0
4543,831,26,0
4408,1154,111,0
4270,1474,217,0
4133,1771,330,0
3993,2031,432,0
3840,2247,506,0
3674,2411,541,0
3515,2502,547,0
3355,2515,526,0
3203,2446,494,0
3051,2315,448,0
2921,2146,404,0
2822,1937,380,0
2774,1695,390,0
2788,1427,441,0
2858,1131,522,0
2961,850,596,0
3115,591,672,0
3309,369,748,0
3539,161,821,0
3783,-34,865,0
4013,-225,852,0
4239,-403,807,0
4469,-575,772,0
4694,-729,756,0
4898,-859,747,0
5074,-958,733,0
5205,-1019,690,0
5295,-1040,626,0
5355,-1023,576,0
5403,-977,552,0
5442,-906,550,0
5479,-821,545,0
5498,-719,525,0
5488,-601,499,0
5450,-471,477,0
5382,-325,474,0
5270,-172,468,0
5114,-22,457,0
4920,123,457,0
4695,245,464,0
4443,332,475,0
4183,384,484,0
3920,418,504,0
3654,438,549,0
3385,467,611,0
3149,508,681,0
2961,537,748,0
2832,543,791,0
2761,534,817,0
2740,510,834,0
2762,484,839,0
2838,447,858,0
2964,405,905,0
3120,358,975,0
3266,296,1005,0
3375,219,971,0
3432,131,891,0
3446,65,807,0
3440,29,751,0
3429,23,758,0
3428,38,811,0
3413,73,883,0
3387,91,950,0
3357,85,989,0
3321,76,1012,0
3280,77,1022,0
3237,79,1024,0
3205,66,1019,0
3184,51,1017,0
3169,22,1013,0
3156,-6,1021,0
3144,-51,1026,0
3139,-111,1023,0
3134,-181,1019,0
3138,-258,1012,0
3150,-340,1008,0
3175,-420,1005,0
3211,-487,1009,0
3260,-533,1023,0
3313,-557,1056,0
3363,-563,1103,0
3415,-561,1151,0
3458,-551,1186,0
3490,-527,1217,0
3511,-490,1236,0
3529,-448,1264,0
3551,-399,1310,0
3576,-344,1368,0
3598,-292,1425,0
3605,-253,1455,0
3579,-245,1416,0
3524,-260,1305,0
3448,-292,1153,0
3354,-331,983,0
3272,-384,842,0
3239,-421,785,0
3273,-419,838,0
3378,-374,971,0
3525,-276,1138,0
3679,-146,1267,0
3828,-28,1332,0
3972,39,1341,0
4111,34,1313,0
4248,-34,1260,0
4359,-136,1188,0
4443,-230,1144,0
4504,-280,1164,0
4540,-270,1255,0
4561,-246,1380,0
4570,-266,1507,0
4553,-359,1611,0
4509,-522,1708,0
4434,-715,1760,0
4332,-915,1779,0
4217,-1111,1781,0
4095,-1293,1745,0
3971,-1465,1654,0
3872,-1636,1557,0
3813,-1793,1460,0
3813,-1923,1398,0
3881,-1992,1360,0
4025,-1989,1342,0
4255,-1910,1374,0
4558,-1725,1426,0
4888,-1434,1456,0
5221,-1074,1433,0
5533,-684,1349,0
5811,-321,1204,0
6040,0,1006,0
6205,314,780,0
6301,619,582,0
6309,897,450,0
6238,1121,425,0
6081,1263,495,0
5804,1308,589,0
5419,1256,680,0
4981,1143,777,0
4534,1012,871,0
4108,900,964,0
3739,824,1056,0
3444,768,1121,0
3222,723,1117,0
3072,665,1049,0
2993,582,975,0
2965,494,898,0
2974,408,810,0
2992,335,696,0
3034,286,592,0
3108,280,528,0
3198,323,495,0
3300,382,448,0
3399,436,357,0
3488,490,235,0
3590,539,114,0
3710,592,22,0
3853,655,-19,0
3991,740,-9,0
4107,824,10,0
4185,923,40,0
4211,1016,54,0
4193,1108,71,0
4147,1189,98,0
4101,1245,147,0
4040,1283,219,0
3964,1294,304,0
3880,1290,397,0
3792,1263,485,0
3707,1221,571,0
3613,1152,641,0
3518,1064,675,0
3431,971,687,0
3378,877,686,0
3348,795,678,0
3344,722,671,0
3373,652,668,0
3431,581,674,0
3510,487,666,0
3596,373,635,0
3691,242,603,0
3780,120,573,0
3878,1,545,0
3974,-104,533,0
4039,-193,510,0
4090,-266,499,0
4134,-328,512,0
4151,-383,532,0
4141,-430,523,0
4114,-466,501,0
4070,-481,489,0
4014,-484,484,0
3945,-483,480,0
3876,-481,459,0
3816,-481,457,0
3759,-481,447,0
3714,-483,424,0
3680,-484,398,0
3656,-475,366,0
3649,-458,348,0
3655,-443,334,0
3681,-423,318,0
3715,-403,316,0
3767,-398,312,0
3827,-402,307,0
3889,-410,300,0
3950,-421,303,0
4005,-428,307,0
4042,-425,294,0
4059,-413,280,0
4053,-390,273,0
4047,-358,279,0
4035,-315,300,0
4028,-276,332,0
4021,-235,364,0
4010,-199,386,0
4000,-160,412,0
3992,-121,427,0
3979,-78,426,0
3969,-40,426,0
3963,-8,436,0
3960,16,449,0
3956,31,465,0
3950,36,479,0
3940,36,486,0
3931,24,510,0
3914,10,517,0
3896,-4,519,0
3870,-23,515,0
3839,-37,523,0
3810,-47,529,0
3780,-46,530,0
3748,-42,541,0
3719,-25,551,0
3693,-4,569,0
3673,29,594,0
3661,68,616,0
3647,112,626,0
3643,157,628,0
3664,205,631,0
3694,251,628,0
3731,292,604,0
3779,339,585,0
3837,384,584,0
3898,427,574,0
3953,467,551,0
4006,490,522,0
4053,506,489,0
4077,513,441,0
4091,502,364,0
4112,487,309,0
4143,463,265,0
4173,434,232,0
4218,414,214,0
4269,405,213,0
4319,406,215,0
4355,409,225,0
4382,404,235,0
4405,377,263,0
4422,321,315,0
4426,239,358,0
4410,133,400,0
4377,20,449,0
4334,-90,506,0
4275,-195,572,0
4207,-289,638,0
4149,-367,690,0
4091,-427,726,0
4046,-472,753,0
4024,-491,758,0
4020,-489,753,0
4044,-458,742,0
4080,-405,730,0
4141,-326,715,0
4226,-236,706,0
4326,-138,702,0
4434,-54,689,0
4540,9,656,0
4648,37,603,0
4756,23,543,0
4857,-17,489,0
4947,-93,432,0
5006,-188,368,0
5035,-292,288,0
5282,-359,240,0
5742,-292,121,0
6108,-160,-86,0
6270,-14,-229,0
6249,69,-246,0
6098,85,-110,0
5854,83,48,0
5532,143,257,0
5049,272,395,0
4450,481,348,0
3812,779,174,0
3253,1170,44,0
2896,1584,74,0
2757,1873,215,0
2832,1914,439,0
3025,1713,718,0
3268,1353,993,0
3484,1019,1208,0
3604,805,1312,0
3609,739,1287,0
3516,778,1160,0
3373,850,972,0
3197,881,748,0
3015,922,538,0
2849,955,372,0
2732,974,282,0
2667,984,264,0
2656,979,277,0
2681,926,287,0
2748,835,298,0
2907,685,403,0
3115,511,513,0
3363,337,595,0
3614,185,650,0
3878,52,699,0
4148,-78,753,0
4427,-193,808,0
4708,-274,871,0
4986,-334,914,0
5264,-373,969,0
5536,-403,1008,0
5775,-453,984,0
5965,-539,901,0
6113,-663,790,0
6214,-817,676,0
6262,-955,582,0
6239,-1051,531,0
6150,-1075,526,0
5997,-1021,558,0
5786,-911,623,0
5522,-766,699,0
5219,-611,757,0
4899,-460,772,0
4587,-330,763,0
4302,-223,741,0
4030,-132,740,0
3788,-75,748,0
3597,-67,755,0
3460,-92,758,0
3361,-120,767,0
3293,-145,792,0
3263,-167,827,0
3267,-187,859,0
