0.00,-0.94,0.42,-5.55,-6.65,-4.09
0.01,-0.95,0.42,-9.95,-8.42,-5.43
0.00,-0.91,0.37,-11.41,-5.86,-3.17
-0.00,-0.89,0.37,-7.51,-5.55,-2.87
-0.01,-0.89,0.40,-1.71,-6.77,-4.03
0.02,-0.92,0.43,0.37,-6.84,-3.11
0.05,-0.93,0.38,2.26,-7.81,0.67
0.04,-0.94,0.33,-0.73,-10.44,2.14
0.04,-0.96,0.31,9.34,-8.42,3.72
0.01,-0.97,0.39,20.94,-13.73,6.35
-0.03,-0.95,0.41,10.80,-19.29,14.95
-0.03,-0.97,0.28,5.00,-15.56,16.97
-0.08,-0.97,0.22,22.77,-19.47,17.94
-0.21,-0.80,0.37,38.02,-39.00,24.29
-0.23,-0.85,0.46,29.54,-49.62,13.85
-0.12,-0.99,0.24,49.74,-39.18,7.51
-0.13,-0.97,0.21,49.44,-36.56,15.26
-0.15,-0.93,0.29,41.69,-39.55,23.62
-0.16,-0.91,0.33,27.34,-36.87,24.72
-0.13,-0.92,0.29,11.29,-34.06,23.07
-0.00,-1.06,0.14,46.94,-42.54,22.58
0.06,-1.12,0.02,87.10,-49.13,34.97
0.06,-1.03,0.03,45.04,-52.55,34.67
-0.03,-0.96,0.11,6.16,-49.62,19.35
-0.10,-0.98,0.37,-35.52,-58.78,4.82
-0.00,-1.00,0.26,-6.23,-48.65,13.55
0.07,-1.02,0.16,29.24,-23.32,23.86
0.08,-0.94,0.03,25.45,-19.71,19.71
0.03,-0.91,0.01,-6.96,-35.71,3.23
-0.02,-0.90,0.39,-69.09,-55.91,-6.96
0.00,-0.95,0.58,-55.30,-29.11,-7.20
0.11,-1.03,0.30,28.75,16.97,5.62
0.17,-1.05,0.28,38.70,21.61,10.74
0.25,-1.03,0.04,45.59,21.61,5.80
0.25,-0.97,-0.12,33.20,-8.73,-4.64
0.11,-0.83,-0.19,13.92,-27.77,-11.35
0.00,-0.78,-0.02,-28.14,-49.74,-27.34
-0.05,-0.76,0.03,-39.43,-50.42,-25.94
-0.11,-0.74,0.02,-20.26,-35.77,-14.89
-0.22,-0.78,0.14,-12.57,-30.70,-12.39
-0.21,-0.93,0.27,-1.34,-22.52,-13.31
-0.03,-1.20,0.22,58.35,-11.17,4.15
0.02,-1.16,0.07,87.77,23.25,30.88
0.03,-1.03,-0.03,70.13,32.84,29.24
0.02,-0.95,0.06,13.79,1.89,6.59
-0.04,-0.83,0.10,-36.19,-34.61,-11.05
-0.10,-0.86,0.19,-35.34,-46.75,-16.11
-0.11,-0.94,0.18,2.38,-44.19,-9.52
-0.02,-1.06,0.11,46.08,-41.20,-1.40
-0.03,-1.06,0.14,55.05,-39.73,1.65
-0.07,-0.97,0.15,34.61,-30.64,2.01
-0.03,-1.09,0.15,16.05,-7.20,-1.77
-0.04,-1.04,0.13,-5.31,-10.38,-2.01
-0.06,-0.96,0.09,-24.35,-17.58,0.73
-0.08,-0.89,0.10,-34.30,-19.29,-0.43
-0.08,-0.90,0.14,-46.26,-20.69,1.16
-0.04,-0.89,0.14,-37.72,-9.28,4.21
-0.02,-0.94,0.12,-1.59,8.61,11.90
0.04,-1.05,0.12,1.28,15.69,9.77
0.03,-1.05,0.13,-43.70,-0.18,-2.93
-0.03,-0.86,0.15,-60.12,-3.66,-4.39
-0.04,-0.81,0.12,-64.03,7.02,2.14
-0.00,-0.89,0.17,-43.15,17.76,11.66
0.01,-0.91,0.26,-30.33,11.11,6.84
0.00,-0.95,0.27,-27.04,6.47,1.89
-0.01,-1.00,0.25,-9.58,13.37,3.42
-0.01,-1.09,0.27,-1.34,11.60,4.27
-0.02,-1.14,0.28,-23.99,-0.31,-5.00
-0.03,-1.14,0.32,-19.17,-3.17,-5.43
-0.02,-1.16,0.34,-12.57,-6.84,-1.16
-0.06,-1.14,0.24,-22.52,-14.59,0.24
-0.10,-1.13,0.25,-32.35,-12.33,5.37
-0.14,-0.99,0.34,-42.54,-1.65,6.23
-0.09,-0.94,0.39,-40.16,7.63,10.99
-0.03,-0.95,0.39,-33.63,16.24,14.22
0.04,-1.06,0.41,-37.05,17.03,12.82
0.08,-1.11,0.36,-37.48,13.98,13.31
0.04,-1.07,0.40,-26.86,9.16,15.08
0.02,-1.03,0.46,-21.67,9.83,24.41
0.06,-1.04,0.45,-21.61,9.70,27.89
0.09,-0.97,0.39,-25.33,6.47,25.76
0.09,-0.94,0.37,-12.70,-8.48,20.75
0.07,-1.01,0.45,-14.34,-21.48,16.48
0.01,-0.94,0.44,-29.17,-22.89,14.34
-0.01,-0.87,0.44,-37.84,-22.58,11.23
0.02,-0.81,0.48,-39.73,-16.72,11.35
0.07,-0.84,0.53,-42.24,-17.27,13.12
0.10,-0.83,0.54,-52.86,-27.95,10.93
0.12,-0.81,0.51,-52.92,-50.17,2.44
0.11,-0.90,0.54,-33.51,-37.96,-7.69
0.04,-0.85,0.62,-42.48,-27.77,-6.16
0.01,-0.81,0.61,-39.43,-21.06,-5.74
-0.00,-0.83,0.62,-28.20,-24.54,-7.14
0.01,-0.80,0.56,-17.27,-28.81,-14.77
0.00,-0.77,0.57,-13.85,-19.04,-18.55
-0.02,-0.74,0.59,-8.00,-10.50,-10.50
0.03,-0.80,0.58,9.52,-1.77,-2.93
-0.01,-0.85,0.60,2.20,-1.04,1.71
-0.05,-0.78,0.59,-15.50,-5.86,4.64
-0.03,-0.79,0.56,8.12,3.30,5.07
-0.03,-0.87,0.60,18.19,6.90,1.65
-0.06,-0.86,0.61,9.77,3.17,-2.08
-0.04,-0.83,0.58,-7.45,0.49,-2.69
-0.01,-0.83,0.56,-5.68,2.99,-3.05
